Coach,School,Conference,W_2014,L_2014,W-L%_2014,AP_Pre_2014,AP_Post_2014,NCAA_Tournament_2014,Since_2014,W_Career_2014,L_Career_2014,W-L%_Career_2014,NCAA_Career_2014,S16_Career_2014,FF_Career_2014,Chmp_Career_2014,W_Overall_2014,L_Overall_2014,W-L%_Overall_2014,NCAA_Overall_2014,S16_Overall_2014,FF_Overall_2014,Chmp_Overall_2014
Joe Golding,Abilene Christian,Southland,10,21,0.323,,,,2013-14,21,41,0.339,,,,,21,41,0.339,,,,
Dave Pilipovich,Air Force,MWC,14,17,0.452,,,,2011-12,46,55,0.455,,,,,46,55,0.455,,,,
Keith Dambrot,Akron,MAC,21,14,0.6,,,,2004-05,252,121,0.676,3,,,,272,155,0.637,3,,,
Anthony Grant,Alabama,SEC,18,14,0.562,,,,2009-10,117,85,0.579,1,,,,193,110,0.637,3,,,
John Brannen,Alabama,SEC,1,1,0.5,,,,2014-15,1,1,0.5,,,,,1,1,0.5,,,,
Willie Hayes,Alabama A&M,SWAC,9,20,0.31,,,,2011-12,41,77,0.347,,,,,41,77,0.347,,,,
Jerod Haase,Alabama-Birmingham,CUSA,20,16,0.556,,,Lost Third Round,2012-13,54,46,0.54,1,,,,54,46,0.54,1,,,
Lewis Jackson,Alabama State,SWAC,19,10,0.655,,,,2005-06,157,156,0.502,2,,,,157,156,0.502,2,,,
Will Brown,Albany (NY),AEC,24,9,0.727,,,Lost Second Round,2001-02,215,215,0.5,5,,,,215,215,0.5,5,,,
Luther Riley,Alcorn State,SWAC,6,26,0.188,,,,2011-12,38,91,0.295,,,,,38,91,0.295,,,,
Mike Brennan,American,Patriot,17,16,0.515,,,,2013-14,37,29,0.561,1,,,,37,29,0.561,1,,,
Jim Fox,Appalachian State,Sun Belt,12,17,0.414,,,,2014-15,12,17,0.414,,,,,12,17,0.414,,,,
Sean Miller,Arizona,Pac-12,34,4,0.895,2,5,Lost Regional Final,2009-10,163,52,0.758,4,4,,,283,99,0.741,8,6,,
Herb Sendek,Arizona State,Pac-12,18,16,0.529,,,,2006-07,159,137,0.537,2,,,,413,295,0.583,8,1,,
Mike Anderson,Arkansas,SEC,27,9,0.75,,21,Lost Third Round,2011-12,86,48,0.642,1,,,,286,146,0.662,7,2,,
Steve Shields,Little Rock,Sun Belt,13,18,0.419,,,,2003-04,192,178,0.519,1,,,,192,178,0.519,1,,,
George Ivory,Arkansas-Pine Bluff,SWAC,12,20,0.375,,,,2008-09,90,132,0.405,1,,,,90,132,0.405,1,,,
John Brady,Arkansas State,Sun Belt,11,18,0.379,,,,2008-09,110,109,0.502,,,,,391,325,0.546,4,2,1,
Zach Spiker,Army,Patriot,15,15,0.5,,,,2009-10,83,98,0.459,,,,,83,98,0.459,,,,
Bruce Pearl,Auburn,SEC,15,20,0.429,,,,2014-15,15,20,0.429,,,,,246,119,0.674,8,4,,
Dave Loos,Austin Peay,OVC,8,22,0.267,,,,1990-91,391,373,0.512,3,,,,391,373,0.512,3,,,
James Whitford,Ball State,MAC,7,23,0.233,,,,2013-14,12,48,0.2,,,,,12,48,0.2,,,,
Scott Drew,Baylor,Big 12,24,10,0.706,,16,Lost Second Round,2003-04,230,160,0.59,5,3,,,250,171,0.594,5,3,,
Rick Byrd,Belmont,OVC,22,11,0.667,,,Lost Second Round,1999-00,321,186,0.633,7,,,,321,186,0.633,7,,,
Gravelle Craig,Bethune-Cookman,MEAC,11,21,0.344,,,,2011-12,50,83,0.376,,,,,50,83,0.376,,,,
Tommy Dempsey,Binghamton,AEC,6,26,0.188,,,,2012-13,16,76,0.174,,,,,135,181,0.427,,,,
Leon Rice,Boise State,MWC,25,9,0.735,,,,2010-11,102,63,0.618,2,,,,102,63,0.618,2,,,
Jim Christian,Boston College,ACC,13,19,0.406,,,,2014-15,13,19,0.406,,,,,255,173,0.596,2,,,
Joe Jones,Boston University,Patriot,13,17,0.433,,,,2011-12,70,57,0.551,,,,,156,165,0.486,,,,
Chris Jans,Bowling Green State,MAC,21,12,0.636,,,,2014-15,21,12,0.636,,,,,21,12,0.636,,,,
Geno Ford,Bradley,MVC,9,24,0.273,,,,2011-12,46,86,0.348,,,,,114,123,0.481,,,,
Dave Rose,BYU,WCC,25,10,0.714,,,,2005-06,257,88,0.745,8,1,,,257,88,0.745,8,1,,
Mike Martin,Brown,Ivy,13,18,0.419,,,,2012-13,41,47,0.466,,,,,41,47,0.466,,,,
Tim O'Shea,Bryant,NEC,16,15,0.516,,,,2008-09,73,140,0.343,,,,,193,235,0.451,1,,,
Dave Paulsen,Bucknell,Patriot,19,15,0.559,,,,2008-09,134,94,0.588,2,,,,134,94,0.588,2,,,
Bobby Hurley,Buffalo,MAC,23,10,0.697,,,Lost Second Round,2013-14,42,20,0.677,1,,,,42,20,0.677,1,,,
Chris Holtmann,Butler,Big East,23,11,0.676,,24,Lost Third Round,2014-15,23,11,0.676,1,,,,67,65,0.508,1,,,
Joe Callero,Cal Poly,Big West,13,16,0.448,,,,2009-10,90,99,0.476,1,,,,90,99,0.476,1,,,
Rod Barnes,Cal State Bakersfield,WAC,14,19,0.424,,,,2011-12,57,69,0.452,,,,,243,258,0.485,3,1,,
Dedrique Taylor,Cal State Fullerton,Big West,9,22,0.29,,,,2013-14,20,42,0.323,,,,,20,42,0.323,,,,
Reggie Theus,Cal State Northridge,Big West,9,24,0.273,,,,2013-14,26,42,0.382,,,,,67,65,0.508,1,,,
Cuonzo Martin,California,Pac-12,18,15,0.545,,,,2014-15,18,15,0.545,,,,,142,97,0.594,1,1,,
Jim Les,UC-Davis,Big West,25,7,0.781,,,,2011-12,53,72,0.424,,,,,207,212,0.494,1,1,,
Russ Turner,UC-Irvine,Big West,21,13,0.618,,,Lost Second Round,2010-11,90,80,0.529,1,,,,90,80,0.529,1,,,
Dennis Cutts,UC-Riverside,Big West,14,17,0.452,,,,2013-14,24,38,0.387,,,,,24,38,0.387,,,,
Bob Williams,UCSB,Big West,19,14,0.576,,,,1998-99,288,224,0.562,3,,,,288,224,0.562,3,,,
Kevin McGeehan,Campbell,Big South,10,22,0.312,,,,2013-14,22,42,0.344,,,,,22,42,0.344,,,,
Jim Baron,Canisius,MAAC,18,15,0.545,,,,2012-13,59,42,0.584,,,,,448,411,0.522,2,,,
Russ Pennell,Central Arkansas,Southland,2,27,0.069,,,,2014-15,2,27,0.069,,,,,23,41,0.359,1,1,,
Howie Dickenman,Central Connecticut,NEC,5,26,0.161,,,,1996-97,278,286,0.493,3,,,,278,286,0.493,3,,,
Donnie Jones*,UCF,AAC,12,18,0.4,,,,2010-11,88,70,0.557,,,,,143,111,0.563,,,,
Keno Davis,Central Michigan,MAC,23,9,0.719,,,,2012-13,44,50,0.468,,,,,118,105,0.529,1,,,
Barclay Radebaugh,Charleston Southern,Big South,19,12,0.613,,,,2005-06,139,166,0.456,,,,,139,166,0.456,,,,
Alan Major,Charlotte,CUSA,6,7,0.462,,,,2010-11,67,70,0.489,,,,,67,70,0.489,,,,
Ryan Odom,Charlotte,CUSA,8,11,0.421,,,,2014-15,8,11,0.421,,,,,8,11,0.421,,,,
Will Wade,Chattanooga,Southern,22,10,0.688,,,,2013-14,40,25,0.615,,,,,40,25,0.615,,,,
Tracy Dildy,Chicago State,WAC,8,24,0.25,,,,2010-11,42,117,0.264,,,,,42,117,0.264,,,,
Mick Cronin,Cincinnati,AAC,23,11,0.676,,,Lost Third Round,2006-07,185,118,0.611,5,1,,,254,142,0.641,7,1,,
Chuck Driesell,Citadel,Southern,11,19,0.367,,,,2010-11,42,113,0.271,,,,,42,113,0.271,,,,
Brad Brownell,Clemson,ACC,16,15,0.516,,,,2010-11,90,73,0.552,1,,,,257,158,0.619,4,,,
Gary Waters,Cleveland State,Horizon,19,15,0.559,,,,2006-07,176,127,0.581,1,,,,347,262,0.57,3,,,
