,Coach,School_x,Conference_x,W_2013,L_2013,W-L%_2013,AP_Pre_2013,AP_Post_2013,NCAA_Tournament_2013,Since_2013,W_Career_2013,L_Career_2013,W-L%_Career_2013,NCAA_Career_2013,S16_Career_2013,FF_Career_2013,Chmp_Career_2013,W_Overall_2013,L_Overall_2013,W-L%_Overall_2013,NCAA_Overall_2013,S16_Overall_2013,FF_Overall_2013,Chmp_Overall_2013,School_y,Conference_y,W_2014,L_2014,W-L%_2014,AP_Pre_2014,AP_Post_2014,NCAA_Tournament_2014,Since_2014,W_Career_2014,L_Career_2014,W-L%_Career_2014,NCAA_Career_2014,S16_Career_2014,FF_Career_2014,Chmp_Career_2014,W_Overall_2014,L_Overall_2014,W-L%_Overall_2014,NCAA_Overall_2014,S16_Overall_2014,FF_Overall_2014,Chmp_Overall_2014,School_x,Conference_x,W_2015,L_2015,W-L%_2015,AP_Pre_2015,AP_Post_2015,NCAA_Tournament_2015,Since_2015,W_Career_2015,L_Career_2015,W-L%_Career_2015,NCAA_Career_2015,S16_Career_2015,FF_Career_2015,Chmp_Career_2015,W_Overall_2015,L_Overall_2015,W-L%_Overall_2015,NCAA_Overall_2015,S16_Overall_2015,FF_Overall_2015,Chmp_Overall_2015,School_y,Conference_y,W_2016,L_2016,W-L%_2016,AP_Pre_2016,AP_Post_2016,NCAA_Tournament_2016,Since_2016,W_Career_2016,L_Career_2016,W-L%_Career_2016,NCAA_Career_2016,S16_Career_2016,FF_Career_2016,Chmp_Career_2016,W_Overall_2016,L_Overall_2016,W-L%_Overall_2016,NCAA_Overall_2016,S16_Overall_2016,FF_Overall_2016,Chmp_Overall_2016,School,Conference,W_2017,L_2017,W-L%_2017,AP_Pre_2017,AP_Post_2017,NCAA_Tournament_2017,Since_2017,W_Career_2017,L_Career_2017,W-L%_Career_2017,NCAA_Career_2017,S16_Career_2017,FF_Career_2017,Chmp_Career_2017,W_Overall_2017,L_Overall_2017,W-L%_Overall_2017,NCAA_Overall_2017,S16_Overall_2017,FF_Overall_2017,Chmp_Overall_2017,FIRED?,WHEN
0,Joe Golding,Abilene Christian,Southland,11,20,0.355,,,,2013-14,11,20,0.355,,,,,11,20,0.355,,,,,Abilene Christian,Southland,10,21,0.323,,,,2013-14,21,41,0.339,,,,,21,41,0.339,,,,,Abilene Christian,Southland,13,18,0.419,,,,2013-14,34,59,0.366,,,,,34,59,0.366,,,,,Abilene Christian,Southland,13,16,0.448,,,,2013-14,47,75,0.385,,,,,47,75,0.385,,,,,Abilene Christian,Southland,16,16,0.5,,,,2013-14,63,91,0.409,,,,,63,91,0.409,,,,,N,
1,Dave Pilipovich,Air Force,MWC,12,18,0.4,,,,2011-12,32,38,0.457,,,,,32,38,0.457,,,,,Air Force,MWC,14,17,0.452,,,,2011-12,46,55,0.455,,,,,46,55,0.455,,,,,Air Force,MWC,14,18,0.438,,,,2011-12,60,73,0.451,,,,,60,73,0.451,,,,,Air Force,MWC,12,21,0.364,,,,2011-12,72,94,0.434,,,,,72,94,0.434,,,,,Air Force,MWC,12,19,0.387,,,,2011-12,84,113,0.426,,,,,84,113,0.426,,,,,N,
2,Keith Dambrot,Akron,MAC,21,13,0.618,,,,2004-05,231,107,0.683,3,,,,251,141,0.64,3,,,,Akron,MAC,21,14,0.6,,,,2004-05,252,121,0.676,3,,,,272,155,0.637,3,,,,Akron,MAC,26,9,0.743,,,,2004-05,278,130,0.681,3,,,,298,164,0.645,3,,,,Akron,MAC,27,9,0.75,,,,2004-05,305,139,0.687,3,,,,325,173,0.653,3,,,,Duquesne,A-10,16,16,0.5,,,,2017-18,16,16,0.5,,,,,341,189,0.643,3,,,,N,
3,Anthony Grant,Alabama,SEC,13,19,0.406,,,,2009-10,99,71,0.582,1,,,,175,96,0.646,3,,,,Alabama,SEC,18,14,0.562,,,,2009-10,117,85,0.579,1,,,,193,110,0.637,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dayton,A-10,14,17,0.452,,,,2017-18,14,17,0.452,,,,,207,127,0.62,3,,,,Y,2015
4,Willie Hayes,Alabama A&M,SWAC,14,16,0.467,,,,2011-12,32,57,0.36,,,,,32,57,0.36,,,,,Alabama A&M,SWAC,9,20,0.31,,,,2011-12,41,77,0.347,,,,,41,77,0.347,,,,,Alabama A&M,SWAC,11,18,0.379,,,,2011-12,52,95,0.354,,,,,52,95,0.354,,,,,Alabama A&M,SWAC,2,27,0.069,,,,2011-12,54,122,0.307,,,,,54,122,0.307,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,
5,Jerod Haase,Alabama-Birmingham,CUSA,18,13,0.581,,,,2012-13,34,30,0.531,,,,,34,30,0.531,,,,,Alabama-Birmingham,CUSA,20,16,0.556,,,Lost Third Round,2012-13,54,46,0.54,1,,,,54,46,0.54,1,,,,Alabama-Birmingham,CUSA,26,7,0.788,,,,2012-13,80,53,0.602,1,,,,80,53,0.602,1,,,,Stanford,Pac-12,14,17,0.452,,,,2016-17,14,17,0.452,,,,,94,70,0.573,1,,,,Stanford,Pac-12,19,16,0.543,,,,2016-17,33,33,0.5,,,,,113,86,0.568,1,,,,N,
6,Lewis Jackson,Alabama State,SWAC,19,13,0.594,,,,2005-06,138,146,0.486,2,,,,138,146,0.486,2,,,,Alabama State,SWAC,19,10,0.655,,,,2005-06,157,156,0.502,2,,,,157,156,0.502,2,,,,Alabama State,SWAC,14,17,0.452,,,,2005-06,171,173,0.497,2,,,,171,173,0.497,2,,,,Alabama State,SWAC,8,23,0.258,,,,2005-06,179,196,0.477,2,,,,179,196,0.477,2,,,,Alabama State,SWAC,8,23,0.258,,,,2005-06,187,219,0.461,2,,,,187,219,0.461,2,,,,N,
7,Will Brown,Albany (NY),AEC,19,15,0.559,,,Lost Second Round,2001-02,191,206,0.481,4,,,,191,206,0.481,4,,,,Albany (NY),AEC,24,9,0.727,,,Lost Second Round,2001-02,215,215,0.5,5,,,,215,215,0.5,5,,,,Albany (NY),AEC,24,9,0.727,,,,2001-02,239,224,0.516,5,,,,239,224,0.516,5,,,,Albany (NY),AEC,21,14,0.6,,,,2001-02,260,238,0.522,5,,,,260,238,0.522,5,,,,Albany (NY),AEC,22,10,0.688,,,,2001-02,282,248,0.532,5,,,,282,248,0.532,5,,,,N,
8,Luther Riley,Alcorn State,SWAC,12,19,0.387,,,,2011-12,32,65,0.33,,,,,32,65,0.33,,,,,Alcorn State,SWAC,6,26,0.188,,,,2011-12,38,91,0.295,,,,,38,91,0.295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,2015
9,Mike Brennan,American,Patriot,20,13,0.606,,,Lost Second Round,2013-14,20,13,0.606,1,,,,20,13,0.606,1,,,,American,Patriot,17,16,0.515,,,,2013-14,37,29,0.561,1,,,,37,29,0.561,1,,,,American,Patriot,12,19,0.387,,,,2013-14,49,48,0.505,1,,,,49,48,0.505,1,,,,American,Patriot,8,22,0.267,,,,2013-14,57,70,0.449,1,,,,57,70,0.449,1,,,,American,Patriot,6,24,0.2,,,,2013-14,63,94,0.401,1,,,,63,94,0.401,1,,,,N,
