Find,Replace
BYU,Brigham Young
California,University of California
UCSB,UC-Santa Barbara
Central Connecticut,Central Connecticut State
UCF,Central Florida
UConn,Connecticut
Detroit,Detroit Mercy
ETSU,East Tennessee State
UIC,Illinois-Chicago
LIU-Brooklyn,Long Island University
LSU,Louisiana State
UMBC,Maryland-Baltimore County
UMass,Massachusetts
Ole Miss,Mississippi
UMKC,Missouri-Kansas City
UNLV,Nevada-Las Vegas
UNC,North Carolina
UNC Asheville,North Carolina-Asheville
North Carolina A&T,North Carolina A&T
UNC Greensboro,North Carolina-Greensboro
NC State,North Carolina State
UNC Wilmington,North Carolina-Wilmington
Penn,Pennsylvania
Pitt,Pittsburgh
Saint Mary's,Saint Mary's (CA)
SMU,Southern Methodist
Southern Miss,Southern Mississippi
UT-Martin,Tennessee-Martin
TCU,Texas Christian
UTEP,Texas-El Paso
UTSA,Texas-San Antonio
VCU,Virginia Commonwealth
